Title,Description,Content,Author
Altice USA Said to Be Considering a Sale of Cheddar News,"The cable company acquired the network, once billed as “CNBC for millennials,” in 2019 for $200 million.","The cable company Altice USA is said to be weighing a potential sale of Cheddar News, the network once billed as “CNBC for millennials,” less than five years after buying the company.Altice USA has hired Goldman Sachs to help explore strategic alternatives for Cheddar News, according to three people with knowledge of the matter who spoke on the condition of anonymity. They cautioned that Altice was still weighing its options and could decide against a sale. Representatives for Altice USA and Goldman declined to comment.A sale would be a retreat from Altice USA’s big bet on the streaming news company. Altice, which is controlled by the French-Israeli billionaire Patrick Drahi, paid $200 million for Cheddar in 2019. The deal was seen as a way to elevate the company’s news division, which also includes the News 12 networks. Cheddar had pitched itself as the future of financial news, featuring interviews with chief executives, newsmakers and journalists from the floor of the New York Stock Exchange.Subscribe to The Times to read as many articles as you like.",By Lauren Hirsch and Benjamin Mullin
NPR’s Terence Samuel Is Named Top Editor of USA Today,"Mr. Samuel, who will start in July, has overseen NPR’s news gathering.","Terence Samuel, a top news executive at National Public Radio, will be the next editor in chief of USA Today.Gannett, the nation’s largest newspaper chain and the publisher of USA Today, made the announcement on Friday. Mr. Samuel, who will start on July 10, fills a position vacated in May by Nicole Carroll, who had led USA Today for five years.Mr. Samuel, 61, is a vice president and executive editor at NPR, where he oversees all news gathering at the network. Before joining NPR in 2017, he was a deputy national political editor at The Washington Post, and he has also worked at The Root, The Philadelphia Inquirer and U.S. News & World Report.Subscribe to The Times to read as many articles as you like.",By Katie Robertson
